product_id,qty,price,discount,revenue,member,txn_id,start_txn_time,product_name,category_id,segment_id,style_id,category_name,segment_name,style_name
c4a632,4,13,17,52,TRUE,54f307,2/13/21 1:59,Navy Oversized Jeans - Womens,1,3,7,Womens,Jeans,Navy Oversized
5d267b,4,40,17,160,TRUE,54f307,2/13/21 1:59,White Tee Shirt - Mens,2,5,13,Mens,Shirt,White Tee
b9a74d,4,17,17,68,TRUE,54f307,2/13/21 1:59,White Striped Socks - Mens,2,6,17,Mens,Socks,White Striped
2feb6b,2,29,17,58,TRUE,54f307,2/13/21 1:59,Pink Fluro Polkadot Socks - Mens,2,6,18,Mens,Socks,Pink Fluro Polkadot
c4a632,5,13,21,65,TRUE,26cc98,1/19/21 1:39,Navy Oversized Jeans - Womens,1,3,7,Womens,Jeans,Navy Oversized
e31d39,2,10,21,20,TRUE,26cc98,1/19/21 1:39,Cream Relaxed Jeans - Womens,1,3,9,Womens,Jeans,Cream Relaxed
72f5d4,3,19,21,57,TRUE,26cc98,1/19/21 1:39,Indigo Rain Jacket - Womens,1,4,11,Womens,Jacket,Indigo Rain
2a2353,3,57,21,171,TRUE,26cc98,1/19/21 1:39,Blue Polo Shirt - Mens,2,5,15,Mens,Shirt,Blue Polo
f084eb,3,36,21,108,TRUE,26cc98,1/19/21 1:39,Navy Solid Socks - Mens,2,6,16,Mens,Socks,Navy Solid
c4a632,1,13,21,13,FALSE,ef648d,1/27/21 2:18,Navy Oversized Jeans - Womens,1,3,7,Womens,Jeans,Navy Oversized
e83aa3,5,32,21,160,FALSE,ef648d,1/27/21 2:18,Black Straight Jeans - Womens,1,3,8,Womens,Jeans,Black Straight
d5e9a6,1,23,21,23,FALSE,ef648d,1/27/21 2:18,Khaki Suit Jacket - Womens,1,4,10,Womens,Jacket,Khaki Suit
72f5d4,1,19,21,19,FALSE,ef648d,1/27/21 2:18,Indigo Rain Jacket - Womens,1,4,11,Womens,Jacket,Indigo Rain
5d267b,3,40,21,120,FALSE,ef648d,1/27/21 2:18,White Tee Shirt - Mens,2,5,13,Mens,Shirt,White Tee
f084eb,4,36,21,144,FALSE,ef648d,1/27/21 2:18,Navy Solid Socks - Mens,2,6,16,Mens,Socks,Navy Solid
b9a74d,4,17,21,68,FALSE,ef648d,1/27/21 2:18,White Striped Socks - Mens,2,6,17,Mens,Socks,White Striped
c4a632,2,13,23,26,TRUE,fba96f,3/3/21 0:32,Navy Oversized Jeans - Womens,1,3,7,Womens,Jeans,Navy Oversized
e31d39,5,10,23,50,TRUE,fba96f,3/3/21 0:32,Cream Relaxed Jeans - Womens,1,3,9,Womens,Jeans,Cream Relaxed
9ec847,3,54,23,162,TRUE,fba96f,3/3/21 0:32,Grey Fashion Jacket - Womens,1,4,12,Womens,Jacket,Grey Fashion
f084eb,4,36,23,144,TRUE,fba96f,3/3/21 0:32,Navy Solid Socks - Mens,2,6,16,Mens,Socks,Navy Solid
2feb6b,2,29,23,58,TRUE,fba96f,3/3/21 0:32,Pink Fluro Polkadot Socks - Mens,2,6,18,Mens,Socks,Pink Fluro Polkadot
c4a632,5,13,11,65,TRUE,4e9268,1/23/21 14:18,Navy Oversized Jeans - Womens,1,3,7,Womens,Jeans,Navy Oversized
